Run,Sample Name
ERR525991,572_M
ERR525992,577_12M
ERR525993,577_4M
ERR525994,577_B
ERR525995,577_M
ERR525996,582_12M
ERR525997,582_4M
ERR525998,582_B
ERR525999,582_M
ERR526000,585_12M
ERR526001,585_4M
ERR526002,585_B
ERR526003,585_M
ERR526004,587_12M
ERR526005,587_4M
ERR526006,587_B
ERR526007,587_M
ERR526008,589_12M
ERR526009,589_4M
ERR526010,589_B
ERR526011,589_M
ERR526012,590_12M
ERR526013,590_4M
ERR526014,590_B
ERR526015,590_M
ERR526016,591_12M
ERR526017,591_4M
ERR526018,591_B
ERR526019,591_M
ERR526020,598_12M
ERR526021,598_4M
ERR526022,598_B
ERR526023,598_M
ERR526024,599_12M
ERR526025,599_4M
ERR526026,599_B
ERR526027,599_M
ERR526028,608_12M
ERR526029,608_4M
ERR526030,608_B
ERR526031,608_M
ERR526032,615_12M
ERR526033,615_4M
ERR526034,615_B
ERR526035,615_M
ERR526036,622_12M
ERR526037,622_4M
ERR526038,622_B
ERR526039,622_M
ERR526040,624_12M
ERR526041,624_4M
ERR526042,624_B
ERR526043,624_M
ERR526044,626_12M
ERR526045,626_4M
ERR526046,626_B
ERR526047,626_M
ERR526048,633_12M
ERR526049,633_4M
ERR526050,633_B
ERR526051,633_M
ERR526052,635_12M
ERR526053,635_4M
ERR526054,635_B
ERR526055,635_M
ERR526056,637_12M
ERR526057,637_4M
ERR526058,637_B
ERR526059,637_M
ERR526060,640_12M
ERR526061,640_4M
ERR526062,640_B
ERR526063,640_M
ERR526064,70_12M
ERR526065,70_4M
ERR526066,70_B
ERR526067,70_M
ERR526068,7_12M
ERR526069,7_4M
ERR526070,78_12M
ERR526071,78_4M
ERR526072,78_B
ERR526073,78_M
ERR526074,7_B
ERR526075,7_M
ERR526076,82_12M
ERR526077,82_4M
ERR526078,82_B
ERR526079,82_M
ERR526080,87_12M
ERR526081,87_4M
ERR526082,87_B
ERR526083,87_M
ERR526084,9_12M
ERR526085,9_4M
ERR526086,9_B
ERR526087,9_M
